id;identifier;name;email;phone_number;metatag;user_id
1;abc123cde;Huawei p30 pro;Domingo71@gmail.com;+420605240770;Refined Practical paradigms;1
2;bbc123cde;Motorola Moto  X4;Marjolaine.Langosh@hotmail.com;+420605240781;West silver;1
3;cbc123cde;Samsung A56;Gwen_Cummerata@gmail.com;+420605240782;Ergonomic Streets;1
4;dbc123cde;iPhone 12 pro max;Lilly74@gmail.com;+420605240783;systematic Ergonomic Dynamic;4
5;ebc123cde;LG 123;Lysanne.Bartell67@hotmail.com;+420605240784 Electronics;SSL static port;5
6;fbc123cde;Lenovo Vibe P1;Graham7@yahoo.com;+420605240785;paradigm real-time;6
7;gbc123cde;CAT 32;Kacie48@hotmail.com;+420605240786;hard compelling Salad;7
8;hbc123cde;Nokia 3311;Armando_Jacobson@yahoo.com;+420605240787;array compress;8
9;ibc123cde;Honor A1;Payton_Hamill@yahoo.com;+420605240788;backing Pakistan RSS;9
10;jbc123cde;AGM X1;Harmony63@gmail.com;+420605240789;Delaware Facilitator;10
