id;install_address;activation_code;confirmation_code;encoded_activation_code
1;170.54.121.155;98765432;123456;OTg3NjU0MzI=
2;93.113.37.55;88765432;223456;GTg3NjU0MzI=
3;24.180.25.223;78765432;323456;ATg3NjU0MzI=
4;51.35.158.237;68765432;423456;dGSTg3NjU0MzI=
5;51.35.158.237;58765432;523456;GTg3NjU0MzI=
6;51.35.158.237;48765432;623456;eTg3NjU0MzI=
7;51.35.158.237;38765432;723456;oTg3NjU0MzI=
8;51.35.158.237;28765432;823456;jTg3NjU0MzI=
9;51.35.158.237;18765432;923456;kTg3NjU0MzI=
10;51.35.158.237;77765432;443456;wTg3NjU0MzI=
